"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0100000US","United States","334922499","*****",
"0400000US17","Illinois","12694798","*****",
"1400000US17031240900","Census Tract 2409; Cook County; Illinois","1247","222",
"1400000US17031241000","Census Tract 2410; Cook County; Illinois","1948","195",
"1400000US17031241100","Census Tract 2411; Cook County; Illinois","3498","350",
"1400000US17031241200","Census Tract 2412; Cook County; Illinois","1692","260",
"1400000US17031241300","Census Tract 2413; Cook County; Illinois","1844","198",
"1400000US17031241400","Census Tract 2414; Cook County; Illinois","5693","773",
"1400000US17031241500","Census Tract 2415; Cook County; Illinois","2769","330",
"1400000US17031241600","Census Tract 2416; Cook County; Illinois","3779","488",
"1400000US17031242000","Census Tract 2420; Cook County; Illinois","4575","542",
"1400000US17031242100","Census Tract 2421; Cook County; Illinois","3792","612",
"1400000US17031242200","Census Tract 2422; Cook County; Illinois","4182","504",
"1400000US17031242300","Census Tract 2423; Cook County; Illinois","3208","434",
"1400000US17031242400","Census Tract 2424; Cook County; Illinois","3084","385",
"1400000US17031242500","Census Tract 2425; Cook County; Illinois","3394","465",
"1400000US17031242600","Census Tract 2426; Cook County; Illinois","5888","843",
"1400000US17031242700","Census Tract 2427; Cook County; Illinois","1880","292",
"1400000US17031242800","Census Tract 2428; Cook County; Illinois","1575","209",
"1400000US17031242900","Census Tract 2429; Cook County; Illinois","2242","500",
"1400000US17031243000","Census Tract 2430; Cook County; Illinois","2364","391",
"1400000US17031243100","Census Tract 2431; Cook County; Illinois","1912","335",
"1400000US17031243200","Census Tract 2432; Cook County; Illinois","2587","465",
"1400000US17031243300","Census Tract 2433; Cook County; Illinois","2340","292",
"1400000US17031243400","Census Tract 2434; Cook County; Illinois","2972","391",
"1400000US17031243500","Census Tract 2435; Cook County; Illinois","4824","671",
"1400000US17031250200","Census Tract 2502; Cook County; Illinois","2610","618",
"1400000US17031250300","Census Tract 2503; Cook County; Illinois","5144","889",
"1400000US17031250400","Census Tract 2504; Cook County; Illinois","5733","869",
"1400000US17031250500","Census Tract 2505; Cook County; Illinois","7509","952",
"1400000US17031250600","Census Tract 2506; Cook County; Illinois","3887","678",
"1400000US17031250700","Census Tract 2507; Cook County; Illinois","6676","1156",
"1400000US17031250800","Census Tract 2508; Cook County; Illinois","2742","535",
"1400000US17031251000","Census Tract 2510; Cook County; Illinois","1196","341",
"1400000US17031251100","Census Tract 2511; Cook County; Illinois","4521","699",
"1400000US17031251200","Census Tract 2512; Cook County; Illinois","4314","1274",
"1400000US17031251300","Census Tract 2513; Cook County; Illinois","4515","813",
"1400000US17031251400","Census Tract 2514; Cook County; Illinois","3170","571",
"1400000US17031251500","Census Tract 2515; Cook County; Illinois","4489","1229",
"1400000US17031251600","Census Tract 2516; Cook County; Illinois","3983","1121",
"1400000US17031251700","Census Tract 2517; Cook County; Illinois","1368","345",
"1400000US17031251800","Census Tract 2518; Cook County; Illinois","4532","989",
"1400000US17031251900","Census Tract 2519; Cook County; Illinois","5519","1076",
"1400000US17031252000","Census Tract 2520; Cook County; Illinois","5643","882",
"1400000US17031252101","Census Tract 2521.01; Cook County; Illinois","1801","326",
"1400000US17031252102","Census Tract 2521.02; Cook County; Illinois","5766","1155",
"1400000US17031252201","Census Tract 2522.01; Cook County; Illinois","3128","641",
"1400000US17031252202","Census Tract 2522.02; Cook County; Illinois","5129","1104",
"1400000US17031260100","Census Tract 2601; Cook County; Illinois","1106","295",
"1400000US17031260200","Census Tract 2602; Cook County; Illinois","1209","372",
"1400000US17031260300","Census Tract 2603; Cook County; Illinois","1429","498",
"1400000US17031260400","Census Tract 2604; Cook County; Illinois","1511","267",
"1400000US17031260500","Census Tract 2605; Cook County; Illinois","1985","288",
"1400000US17031260600","Census Tract 2606; Cook County; Illinois","1793","427",
"1400000US17031260700","Census Tract 2607; Cook County; Illinois","1198","373",
"1400000US17031260800","Census Tract 2608; Cook County; Illinois","1719","543",
"1400000US17031260900","Census Tract 2609; Cook County; Illinois","1174","240",
"1400000US17031261000","Census Tract 2610; Cook County; Illinois","1972","545",
"1400000US17031270500","Census Tract 2705; Cook County; Illinois","1426","223",
"1400000US17031271200","Census Tract 2712; Cook County; Illinois","1299","411",
"1400000US17031271300","Census Tract 2713; Cook County; Illinois","953","241",
"1400000US17031271400","Census Tract 2714; Cook County; Illinois","1508","298",
"1400000US17031271500","Census Tract 2715; Cook County; Illinois","1469","294",
"1400000US17031271800","Census Tract 2718; Cook County; Illinois","1006","292",
"1400000US17031280100","Census Tract 2801; Cook County; Illinois","7742","737",
"1400000US17031280400","Census Tract 2804; Cook County; Illinois","1508","271",
"1400000US17031280800","Census Tract 2808; Cook County; Illinois","869","120",
"1400000US17031280900","Census Tract 2809; Cook County; Illinois","1253","389",
"1400000US17031281900","Census Tract 2819; Cook County; Illinois","6907","732",
"1400000US17031282700","Census Tract 2827; Cook County; Illinois","2239","386",
"1400000US17031282800","Census Tract 2828; Cook County; Illinois","1727","535",
"1400000US17031283100","Census Tract 2831; Cook County; Illinois","2560","511",
"1400000US17031283200","Census Tract 2832; Cook County; Illinois","1687","214",
"1400000US17031283800","Census Tract 2838; Cook County; Illinois","3515","570",
"1400000US17031290900","Census Tract 2909; Cook County; Illinois","4870","991",
"1400000US17031291200","Census Tract 2912; Cook County; Illinois","2225","583",
"1400000US17031291600","Census Tract 2916; Cook County; Illinois","1506","916",
"1400000US17031292200","Census Tract 2922; Cook County; Illinois","2658","643",
"1400000US17031292400","Census Tract 2924; Cook County; Illinois","1916","474",
"1400000US17031292500","Census Tract 2925; Cook County; Illinois","3310","778",
"1400000US17031300500","Census Tract 3005; Cook County; Illinois","3355","619",
"1400000US17031300600","Census Tract 3006; Cook County; Illinois","3260","646",
"1400000US17031300700","Census Tract 3007; Cook County; Illinois","4329","1018",
"1400000US17031300800","Census Tract 3008; Cook County; Illinois","3764","953",
"1400000US17031300900","Census Tract 3009; Cook County; Illinois","4267","1302",
"1400000US17031301100","Census Tract 3011; Cook County; Illinois","2403","616",
"1400000US17031301200","Census Tract 3012; Cook County; Illinois","4087","839",
"1400000US17031301600","Census Tract 3016; Cook County; Illinois","4228","811",
"1400000US17031301701","Census Tract 3017.01; Cook County; Illinois","4496","837",
"1400000US17031301702","Census Tract 3017.02; Cook County; Illinois","3801","734",
"1400000US17031301801","Census Tract 3018.01; Cook County; Illinois","4714","1597",
"1400000US17031301802","Census Tract 3018.02; Cook County; Illinois","2513","381",
"1400000US17031301803","Census Tract 3018.03; Cook County; Illinois","3183","533",
"1400000US17031310200","Census Tract 3102; Cook County; Illinois","1508","257",
"1400000US17031310300","Census Tract 3103; Cook County; Illinois","1560","402",
"1400000US17031310400","Census Tract 3104; Cook County; Illinois","1447","217",
"1400000US17031310500","Census Tract 3105; Cook County; Illinois","1356","306",
"1400000US17031310600","Census Tract 3106; Cook County; Illinois","5872","627",
"1400000US17031310700","Census Tract 3107; Cook County; Illinois","1583","373",
"1400000US17031310800","Census Tract 3108; Cook County; Illinois","4013","595",
"1400000US17031310900","Census Tract 3109; Cook County; Illinois","4998","733",
